run,mode
306194,DECO
304300,DECO
304301,DECO
304303,DECO
306199,DECO
306198,DECO
301420,DECO
301421,DECO
301425,DECO
301428,DECO
296169,DECO
306648,DECO
295662,DECO
295663,DECO
295660,DECO
295661,DECO
295668,DECO
301062,DECO
301063,DECO
301060,DECO
301061,DECO
301067,DECO
301064,DECO
305545,PEAK
301068,DECO
301387,DECO
301386,DECO
297415,DECO
297414,DECO
301631,DECO
301630,DECO
302104,DECO
302106,DECO
301639,DECO
301638,DECO
306637,DECO
306632,DECO
306734,DECO
306733,DECO
304675,DECO
297667,DECO
304160,DECO
297725,DECO
300083,DECO
304641,DECO
297464,DECO
304645,DECO
297463,DECO
302534,DECO
302218,DECO
301922,DECO
301920,DECO
301927,DECO
301926,DECO
301924,DECO
301882,DECO
301928,DECO
302214,DECO
295804,DECO
302216,DECO
297389,DECO
295913,DECO
295915,DECO
305782,DECO
305781,DECO
297385,DECO
297384,DECO
299301,DECO
299302,DECO
299305,DECO
299304,DECO
299307,DECO
299306,DECO
299309,DECO
299308,DECO
295801,DECO
298035,DECO
297365,DECO
297364,DECO
306899,DECO
297361,DECO
297360,DECO
297363,DECO
297362,DECO
299470,DECO
297368,DECO
299555,DECO
305804,DECO
306296,DECO
306297,DECO
300177,DECO
305802,DECO
305803,DECO
303099,DECO
301954,DECO
306706,DECO
301818,DECO
300379,DECO
299451,DECO
306099,DECO
302429,DECO
305021,DECO
297510,DECO
307070,DECO
299235,DECO
307079,DECO
307078,DECO
297686,DECO
297680,DECO
298030,DECO
299400,DECO
298979,DECO
302423,DECO
298913,DECO
302422,DECO
304686,DECO
304129,DECO
304299,DECO
302425,DECO
295689,DECO
299282,DECO
303090,DECO
303093,DECO
307080,DECO
299499,DECO
299498,DECO
304269,DECO
298029,DECO
302428,DECO
304688,DECO
303826,DECO
298023,DECO
298022,DECO
298021,DECO
298020,DECO
302427,DECO
302426,DECO
298025,DECO
298024,DECO
305018,DECO
298658,DECO
299345,DECO
305975,DECO
305976,DECO
298657,DECO
304045,DECO
305972,DECO
305977,DECO
299051,DECO
306573,DECO
306132,DECO
300206,DECO
300201,DECO
295659,DECO
302251,DECO
304191,DECO
297103,DECO
304192,DECO
297104,DECO
303896,DECO
303891,DECO
298953,DECO
302514,DECO
297633,DECO
302511,DECO
297638,DECO
304632,DECO
306315,DECO
306314,DECO
299637,DECO
306316,DECO
299639,DECO
304639,DECO
296882,DECO
301853,DECO
302329,DECO
301857,DECO
301854,DECO
301325,DECO
301327,DECO
300339,DECO
295821,DECO
295822,DECO
295823,DECO
295829,DECO
301699,DECO
300334,DECO
300337,DECO
295778,DECO
295779,DECO
299277,DECO
295774,DECO
295776,DECO
296779,DECO
296778,DECO
299445,DECO
307033,DECO
298208,DECO
296775,DECO
296774,DECO
299376,DECO
303285,DECO
300678,DECO
300773,DECO
300772,DECO
301827,DECO
305994,DECO
295728,DECO
305992,DECO
305990,DECO
305991,DECO
300140,DECO
304709,DECO
304259,DECO
304705,DECO
304700,DECO
304701,DECO
301431,DECO
296177,DECO
296176,DECO
296175,DECO
300414,DECO
296178,DECO
300410,DECO
300412,DECO
300413,DECO
300503,DECO
295727,DECO
299031,DECO
298900,DECO
298901,DECO
298902,DECO
301704,DECO
299511,DECO
298908,DECO
298909,DECO
304002,DECO
298983,DECO
300505,DECO
301647,DECO
301645,DECO
302112,DECO
301649,DECO
295002,DECO
295003,DECO
302070,DECO
306070,DECO
299152,DECO
300358,DECO
301725,DECO
301723,DECO
306749,DECO
303991,DECO
303994,DECO
306747,DECO
302413,DECO
302415,DECO
298019,DECO
304679,DECO
305926,DECO
305925,DECO
305922,DECO
305920,DECO
297475,DECO
305071,DECO
295308,DECO
305073,DECO
305072,DECO
298216,DECO
299633,DECO
302160,DECO
301790,DECO
302481,DECO
299641,DECO
295907,DECO
299635,DECO
295902,DECO
295901,DECO
299634,DECO
299644,DECO
299337,DECO
